username,handle,postDate,content,retweets,likes
CLAIRE,@vision_claire,2020-11-27T05:53:43.000Z,"Yes. #CLAIRE is compiling a report, to be shared with the 
@EU_Commission
, based on input given via the Google doc mentioned in the e-mail to CLAIRE supporters about the survey.",,1
Onmanorama,@Onmanorama,2020-11-27T05:33:57.000Z,"#AI is here and real now, Sanjay Gupta shares examples from the Google arsenal. AI can be used to change human life dramatically, says the country manager and vice-president of Google India 
@manoramaonline
 #Techspectations2020",1,
Ed | Money Dojo,@edw4rs,2020-11-27T04:27:17.000Z,"Why NOT GMBs?

They’re not assets like a house

We own them for now, but AI & Google as a whole will one day crack down on all this(?)

However, any GMB that is making good money can “become” legit - we simply just get an office, register the company etc.",,
Andy,@AndySchulenberg,2020-11-27T03:26:32.000Z,"@elonmusk
 ok here is my billion dollar idea pitch.

Racing/NASCAR/FormulaDank but instead of with beta soy boy drivers we replace them with AI drivers. Google/Tesla/others all race their fastest smartest cars.

Also they have flamethrowers",,
bnuuy in Austin,@rxensa,2020-11-27T03:20:52.000Z,"Being a speaker of Hindi I'm tired of seeing Hindi being written in a form that's so far removed from any resemblance to usual speech, and even Hindi speakers who are into AI and NLP will have to do a double or triple take to get what it means and then use Google translate anyway",,1
AVANT R&D Lab by アヴァント株式会社,@LabAvant,2020-11-27T02:48:11.000Z,"Recently, I learn about NeuralNetworks to help my Lab's member.
I was surprised that there are free tools to do, like Google Colaboratory, without a high-spec PC

#AI #MachineLearning #NeuralNetworks",1,1
Ken,@IKNOWDRAGON,2020-11-27T02:37:16.000Z,"The VP in charge of AI monitoring Twitter whose name is ""feigei li"". She forced Google end the AI contracts with US army. Set up Google AI research lab in China.",5,4
thisthreadfolks,@threadspanner,2020-11-27T01:47:24.000Z,"Dear 
@svembu
 ayya, now that your Zoho has achieved considerable expertise in AI, I request you to think of creating Zoho translator. Google should not have the monopoly. 

I have been translator enthusiast since a decade. It is possible to create in our country.",,
Sårskin the Snarkapuss,@SSnarkapuss,2020-11-26T23:38:45.000Z,Mine also. I learned to ask my friends. Now we can ask Google or one of our AI-friend-in-box voices and learn basically anything. So... Go ask Alexa. ?,,1
Pooky,@whitesoxopinion,2020-11-26T23:22:28.000Z,"I was saving the 
@fromthe108
 website to my chrome bookmarks and something incredible happened. Apparently Google offers an advanced AI for categorizing your choices. 

I starred it and it saved under my ""TOOLS"" folder. You just can't argue with it's precision!",,
laura,@lwtsfb,2020-11-26T22:15:49.000Z,Vc bota no google trend topics world ai aparece,,
Parody PfE now @pledgeforeurope@mastodon.online,now @pledgeforeurope@mastodon.online,2020-11-26T19:59:47.000Z,"So, you paid with a card? I'm wondering if that's the missing link here – unless you've got Google's own AI assistant (whatever it's called) installed but forgot about it. Apple's heavily pushing privacy, if they violate that trust - massive damage to their reputation.",,
Ravi,@Raviss108,2020-11-26T19:29:12.000Z,"In learning coding, the most important tools are 

1. Google 

2. Stack Overflow 

Learn these 2 tools, and you have a recipe to conquer coding.

#Google #stackoverflow #Coding #programming 
@Twitter
 #engineers #developer #Java #Python #javascript #AI #ML #PHP",12,3
Carl V Phillips PhD,@carlvphillips,2020-11-26T18:40:15.000Z,"When you go to do a checksum or other tally in Google Sheets, it can usually guess what you want to do now! All you have to type is ""=sum"" and accept the suggestion.

I, for one, welcome with delight our new brute-force-rote-pattern-recognition-quasi-AI overlords.",,3
Ruchi,@rucsb,2020-11-26T17:07:32.000Z,"Do you know 
@Google
 has developed an #AI based Cancer detection Microscope . Google it. 
Ethics is a major issue with AI . #Scientists say it doesn't count in  scientific research.",,1
TradeTexasBig,@TradeTexasBig,2020-11-26T17:06:01.000Z,"10 yo : do you know 
@elonmusk
 is promoting #openAI
Me: whats open ai 
10 yo : Google whats open ai 
Me: ..",,
Edward Miskie (he/him/his),@EdwardMiskie,2020-11-26T16:56:58.000Z,It’s like an AI bot created this off of a Google search of “Broadway”.,,4
Michael Lewis,@Michael25177678,2020-11-26T16:37:56.000Z,"@washingtondc
 Been there and to Nagasaki.  Play 10x10 Sudoku a lot, and studied crypto.  Game is styled to defeat America ca AD 3000.  Takes many plays to see intention emerging.  Best get AI on it.  Use DeepMind/Google's Alpha Sudoku.",,
Carl D | cahldee.eth,@CahlDee,2020-11-26T16:24:16.000Z,"Dear 
@Google
, 

99% of the time, when I click ""share"" I want to copy to my clipboard. Your AI really can't figure that out? I should not have to scroll through all my apps to get to that option.

Sincerely,
All 
@Android
 users",,3
Dr. Silvia De Conca,@SilviaPetulante,2020-11-26T16:21:28.000Z,"""The idea that there are AI applications more dangerous than others is misleading: an Alexa or Google Assistant is as dangerous as other AIs, or even MORE, due to their ubiquitous nature"" -> amen to that!!! 
@AndrewDMurray
 at the annual 
@TMCAsser
 Lecture.",,4
Melanie Rocks,@59Melanie_,2020-11-26T15:19:05.000Z,yo there was a dude in my class rn playing the google dinosaur game on his phone cuz there was no wifi  meme worthy but ai couldn't take a pic,,
Tansy Kelly Robson,@Artemisapphire,2020-11-26T14:45:11.000Z,"""It's Silicon Valley AI!!!""

""Doesn't that say Deep Mind?""

""Yass! Google! Silicon Valley!""

Reads label: ""St Pancras Square, London""

""Look upon Silicon Valley less of a place, and more a transcendental state of being!""",1,3
not that guy,@TrapMon3yChris,2020-11-26T14:42:05.000Z,Ain’t nobody got time to teach these niggas about the impact AI had lol google and YouTube is free,,
Camus,@camusisnew44,2020-11-26T14:35:17.000Z,"Also try writing AI/Quantam Computing/Machine Learning in ALL CAPS. You will definitely get more attention.
Also add block chain in there while your at it, i think you missed it when you were searching on google for
""How to sound like a intellectual prick?""",,
Camus,@camusisnew44,2020-11-26T14:31:02.000Z,"Dude we get it you know about quantam computing, AI, machine learning and other buzz words you were able to get off google. But no need to act like the probability was invented by your family.",,2
ORAI Robotics,@ORAIRobotics,2020-11-26T14:16:01.000Z,"Current #digitalads not driving #engagement?! 

Find out how smart businesses are using AI bots to run conversational ads on: 
1. Social Media  
2. Google 
3. Landing Pages 

A guide to learn how #ConversationalAds work.

#blog #Campaigns #SocialMedia #digital #chatbots #AI #ORAI",1,1
Sean McBride,@seanmcbride,2020-11-26T13:55:51.000Z,"Google Assistant, fueled by the latest and greatest AI tech, could potentially replace every financial adviser on the planet. But that is only a small slice of its future capabilities.",,
Sotirios (Sotos) Tsaftaris,@STsaftaris,2020-11-26T13:28:35.000Z,"Warning: sarcasm AI beats human performance! 
Google scholar recommends a paper as similar to mine. I open the paper: it solves exactly the same problem as we did 1 year ago in 2 papers in the same journal but no citation to these papers! ""AI vs authors"" in literature review: 1-0",,10
Rashad Moore,@rashadmoore,2020-11-26T13:03:27.000Z,"That said, multi-cloud has its place, especially when diversifying specific, independent work loads... For example, you might train your AI models on Google Cloud, but integrate the inferences in your main app on AWS.",,
Larkai Healthcare,@Larkaihealthca1,2020-11-26T04:38:15.000Z,"Google's AI's Chimera Painter is a demo tool that uses machine learning (ML) to enable users a fleshed-out creature based on a rough sketch. The ML model is created with Unreal Engine & the generative adversial network based ML algorithm.
#AWS #bigdata #technofanart",4,5
Scott Sennett,@Scott_N_Dog,2020-11-26T03:24:50.000Z,"@SidneyPowell1
 might want to look into google deep mind. musk said he was scared of the ai. Want to have own city on mars. Brain chip to join machine ai.",,
semoga terus kuat,@nabihahashari,2020-11-26T02:37:04.000Z,"oh macam yang Malay punya ni kan mostly the audios are ceramah punya. dapat 0.84 euros per minute of transcribed audio. the company name is sigma ai by the way if you want to google. 

p/s but mine tolak 24% because I don't have tax certificate (?) since I don't pay tax",,
Barbara Bickham,@techgenii,2020-11-26T02:25:06.000Z,"You need redundancy & decentralization. When designing your server infrastructure, you may also want to look at regions, hosting and how they may interconnect (for example, aws & google). Then attempt to decentralize along function (like AI, Onboarding, and Storage).",,7
রুদ্রদীপ,@rudrodyp,2020-11-26T02:13:45.000Z,"So many smartphone makers with their own camera apps but nobody can beat 
@google
 camera's AI! WHY? 
@TelecomTalk
 @OnePlus_IN
 @oppomobileindia 
@Vivo_India",,
DynamicD@hachyderm.io,DynamicD@hachyderm.io,2020-11-26T02:05:43.000Z,but how will Google train its AI?,,4
Assgadian,@Orakule,2020-11-25T23:11:35.000Z,"The school I attended didn't

Thank God for google translate  et le peu que j'ai appris moi-même.
Boss you for throw this yarn back for hin face",,5
Daniel Heffernan,@danielshi,2020-11-25T22:57:19.000Z,If you use Gmail then marking as spam is also performing unpaid AI classification work for Google.,,1
Mike Kupfer,@michael_kupfer,2020-11-25T22:15:08.000Z,"For sure. I don't necessarily blame the AI for not being smart enough. I blame Google for using their ""eh, good enough"" system will occasionally provide blatantly incorrect (and in this case, potentially dangerous) information.",,1
FindYourPie,@Findyourpie,2020-11-25T18:12:14.000Z,"Out of Tesla, Amazon, Google and Apple. One which succeeds in using AI as a growing stepstone appropriately.",,
BongBong,@BongBong,2020-11-25T18:05:33.000Z,"Wish I’d bought that one during the IPO. Let’s face it, big data companies (and especially any jumping into AI) will be extremely influential in our lives. This includes Google, Amazon, Facebook, etc.",,
Ivy Slimings,@hartinthepool,2020-11-25T17:39:34.000Z,Believe whatever 'Google' tells you that's your prerogative.. if you choose to have the vax again that's your prerogative.. Don't be concerned the vax m'frs haven't done any long-term tests to prove it's safe. All the expected ADRs will be provided by the Govt's AI prog..,,
IF,@projectsbyif,2020-11-25T17:37:55.000Z,"GARDENS AND ZOOS by Matt Jones, Google AI",,
B.o.B was right,@brett_rupe,2020-11-25T17:24:19.000Z,"Google is not a private company.

Its a MIC partner, that’s what Alphabet is. 

Builds AI for drones
Controls all search engines 
OS constantly running auto-content recognition ACR
Auto Video Recognition AVR 

Shares all data with the govt. 

Not a private co. 

BOUGHT N PAID 4",,
Marjaneh Rouhani #JAVIDSHAH,@rouhanim,2020-11-25T16:48:54.000Z,"Many 
@GOP
 R afraid of risking being politically incorrect & hypothesizing will be able 2reclaim USA in 2024
But advancing AI at speed of light & data share BWN Google FB tweeter etc 
being 
PC now poses a HUUUUUGE risk for Democracy & mere existence of the land of the Free.",1,2
SHD Hefêydd ヘフェイイド,@Hefeydd_,2020-11-25T13:09:01.000Z,"@PlayStation
 I think Sony should had added Google Assist or Amazon Alexa to the PS5. All you're doing is adding Ai assistance to turn on the console, launch a game. This would have been very useful for disabled gamers. It is a feature that Sony should really think about adding.",,
ℙ𝕣𝕠𝕗𝕚𝕥 𓂀,@RoshProfits,2020-11-25T11:45:35.000Z,Bruh... if every single one of my businesses failed and I lost all my other skills I'd still bank on me to make a bank from marketing just because of how amazing the ai is... I used to be upset that they spied on us but the money it makess man... Facebook and Google can find,,
